State Name,Temp,pH,Conductivity,Nitrate,Fecal_Coliform,Total_Coliform,TDS,Fluoride,WQI,WQI_Classification,WQI_Class_Encoded
BIHAR,26.0,7.005,611.0,3.475,23.0,170.0,416.0,0.24,21.87919342728721,Excellent,0
BIHAR,26.0,7.125,386.0,0.9830000000000002,13.0,49.0,294.0,0.22,8.333333333333332,Excellent,2
BIHAR,27.0,7.345,985.0,0.46,46.7,64.3,729.0,1.14,103.13864233606267,Unsuitable for Drinking,4
BIHAR,28.0,7.55,633.0,2.32,33.0,89.5,450.0,0.73,68.38233317099402,Poor,3
BIHAR,23.5,6.845000000000001,1175.0,3.94,9.47,77.6,818.0,0.773,10.33333333333329,Excellent,2
BIHAR,24.5,7.275,575.5,0.31,15.4,20.4,389.0,0.55,50.617432324800376,Poor,3
BIHAR,27.0,7.02,826.5,5.77,350.0,920.0,611.0,0.3399999999999999,31.09016160370945,Good,1
BIHAR,22.0,7.31,753.5,1.64,6.220000000000001,28.18,514.0,0.575,53.31386923061313,Poor,3
BIHAR,27.5,7.645,636.5,1.825,22.5,61.0,402.0,0.655,42.99999999999997,Good,2
BIHAR,25.5,7.529999999999999,807.0,2.755,280.0,350.0,577.0,0.445,43.59087044308485,Good,1
BIHAR,27.5,7.455,943.5,0.45,18.17,138.45999999999998,682.0,0.635,59.73788580951511,Poor,3
BIHAR,24.5,7.314999999999999,735.0,1.725,4.5,13.0,529.0,0.635,58.57831552674033,Poor,3
BIHAR,29.0,7.26,1280.0,1.25,23.6,90.5,932.0,0.765,70.20239501212473,Poor,3
BIHAR,25.5,7.03,243.0,0.989,23.0,33.0,174.0,0.354,2.000000000000017,Excellent,2
BIHAR,28.5,7.405,1122.0,1.65,130.0,240.0,844.0,0.8,74.08489787842815,Poor,3
BIHAR,27.5,7.314999999999999,1149.5,4.155,27.0,130.0,813.0,1.115,101.09843811828448,Unsuitable for Drinking,4
BIHAR,26.0,6.97,839.0,1.195,76.6,524.36,541.0,0.21,19.5973432157388,Excellent,0
BIHAR,27.5,7.265000000000001,1060.0,0.5800000000000001,350.0,920.0,702.0,0.52,48.52036698830143,Good,1
BIHAR,22.5,7.435,1060.5,3.51,11.0,22.0,771.0,0.56,53.32840722308466,Poor,3
BIHAR,28.0,7.065,676.5,2.74,920.0,1600.0,501.0,0.875,77.80036310737731,Very Poor,5
BIHAR,22.0,7.140000000000001,705.0,1.54,5.08,2.0,487.0,0.595,53.83520885966782,Poor,3
BIHAR,25.0,7.065,297.5,0.62,212.0,604.6,208.0,0.23,20.916977013768403,Excellent,0
BIHAR,24.0,7.005,808.0,0.49,18.73,776.8199999999999,533.0,0.637,0.33333333333332626,Excellent,2
BIHAR,23.0,7.77,759.0,2.7840000000000003,4.92,29.28,494.0,0.77,51.33333333333331,Poor,2
CHANDIGARH,26.75,7.05,833.5,3.9,6.62,33.0,433.0,0.26,24.1739411164886,Excellent,0
CHANDIGARH,28.0,7.6,948.0,1.7,20.72,79.0,422.0,0.22,24.460271005184712,Excellent,0
CHANDIGARH,27.5,7.0,828.5,4.1,5.0,38.0,368.0,0.422,0.0,Excellent,2
CHANDIGARH,27.5,7.25,729.0,4.800000000000001,9.08,37.0,371.0,0.535,49.47266155297842,Good,1
CHHATTISGARH,30.5,7.65,316.0,0.46,565.6,716.62,270.0,1.31,43.33333333333336,Good,2
CHHATTISGARH,30.75,7.75,311.0,0.4649999999999999,12.4,2.1,270.0,0.369,50.0,Good,2
CHHATTISGARH,26.0,7.365,1425.0,20.05,40.0,34.0,145.0,0.484,24.33333333333335,Excellent,2
CHHATTISGARH,26.25,7.19,2033.5,10.03,2.0,7.1,126.5,195.223,12.666666666666693,Excellent,2
CHHATTISGARH,26.15,7.23,2530.5,8.42,2.0,5.1,130.5,195.20200000000003,15.333333333333362,Excellent,2
CHHATTISGARH,26.35,7.245,922.0,11.185,2.0,2.0,136.0,0.457,16.333333333333343,Excellent,2
"DAMAN AND DIU, DADRA AND NAGAR HAVELI",29.700000000000003,7.345000000000001,901.0,4.130000000000001,8.0,15.0,603.0,0.33,32.44154668777078,Good,1
"DAMAN AND DIU, DADRA AND NAGAR HAVELI",29.6,7.35,495.5,4.07,33.0,67.0,331.5,0.474,23.333333333333307,Excellent,2
"DAMAN AND DIU, DADRA AND NAGAR HAVELI",29.5,7.395,2067.0,1.8,7.0,12.0,1323.0,0.3,31.44665783946672,Good,1
"DAMAN AND DIU, DADRA AND NAGAR HAVELI",29.700000000000003,7.23,734.0,2.35,5.0,12.0,469.0,0.625,57.127992623707634,Poor,3
"DAMAN AND DIU, DADRA AND NAGAR HAVELI",29.35,7.36,1255.0,1.885,6.0,10.0,821.0,0.255,26.31801560486613,Good,1
"DAMAN AND DIU, DADRA AND NAGAR HAVELI",29.35,7.1850000000000005,478.0,3.75,19.0,34.0,315.0,0.445,12.333333333333368,Excellent,2
"DAMAN AND DIU, DADRA AND NAGAR HAVELI",29.25,7.295,547.0,2.47,8.0,18.0,363.0,0.405,38.14930041903835,Good,1
"DAMAN AND DIU, DADRA AND NAGAR HAVELI",29.4,7.4,584.5,0.932,9.0,16.0,358.5,0.6,26.66666666666669,Good,2
"DAMAN AND DIU, DADRA AND NAGAR HAVELI",29.1,7.140000000000001,1112.0,4.545,10.0,20.0,715.5,0.25,24.313810382613465,Excellent,0
"DAMAN AND DIU, DADRA AND NAGAR HAVELI",29.35,7.225,2715.0,3.445,4.0,11.0,1832.5,0.88,81.80604447589769,Very Poor,5
"DAMAN AND DIU, DADRA AND NAGAR HAVELI",29.35,7.54,438.0,1.41,6.0,13.0,303.5,0.28,28.73988410495237,Good,1
"DAMAN AND DIU, DADRA AND NAGAR HAVELI",29.45,7.67,3651.5,1.635,6.0,15.0,2410.0,0.25,30.873894697592306,Good,1
DELHI,25.5,7.6,1136.4,2.915,361.2,519.8,903.5,0.5589999999999999,39.99999999999997,Good,2
DELHI,24.6,7.25,359.5,0.43,101.2,260.6,617.5,0.418,16.666666666666664,Excellent,2
DELHI,23.9,7.449999999999999,688.9,0.585,105.4,324.0,268.5,0.4640000000000001,29.999999999999954,Good,2
DELHI,25.5,7.6,1136.4,2.915,361.2,504.56000000000006,560.0,0.5589999999999999,39.99999999999997,Good,2
DELHI,22.4,7.0,293.8,0.41,174.8,324.6,287.5,0.4269999999999999,0.0,Excellent,2
DELHI,25.1,7.0,713.4,5.130999999999999,289.0,594.2,586.0,0.488,0.0,Excellent,2
DELHI,25.1,7.0,713.4,5.131,289.0,594.2,573.5,0.488,0.0,Excellent,2
DELHI,23.9,7.15,318.4,0.6799999999999999,155.0,263.2,624.0,0.4669999999999999,10.000000000000025,Excellent,2
DELHI,24.6,7.300000000000001,386.7,0.3299999999999999,101.2,260.6,695.0,0.418,20.00000000000005,Excellent,2
DELHI,26.5,7.25,646.6,2.918,90.5,128.2,511.5,0.483,16.666666666666664,Excellent,2
DELHI,22.3,6.800000000000001,349.0,2.5410000000000004,121.2,197.2,794.0,0.355,13.333333333333286,Excellent,2
DELHI,24.3,7.45,534.7,0.76,89.2,263.8,794.0,0.473,30.00000000000001,Good,2
DELHI,23.6,7.05,350.3,0.485,174.8,324.6,464.5,0.4269999999999999,3.3333333333333215,Excellent,2
DELHI,24.9,7.65,727.7,0.35,105.4,324.0,523.0,1.411,43.33333333333336,Good,2
DELHI,23.4,7.1,221.8,0.32,174.8,324.6,375.0,0.4059999999999999,6.666666666666643,Excellent,2
DELHI,23.4,7.15,221.8,0.315,174.8,324.6,815.5,0.418,10.000000000000025,Excellent,2
DELHI,22.9,6.9,240.7,0.43,174.8,324.6,507.5,0.3959999999999999,6.666666666666643,Excellent,2
DELHI,23.6,7.35,324.1,1.262,90.5,128.2,485.0,0.4720000000000001,23.333333333333307,Excellent,2
DELHI,24.7,7.35,537.5,0.59,105.4,324.0,767.5,0.4640000000000001,23.333333333333307,Excellent,2
DELHI,23.9,7.15,365.8,0.49,174.8,324.6,867.0,0.408,10.000000000000025,Excellent,2
DELHI,24.1,7.1,317.1,0.875,96.1,162.4,848.5,0.483,6.666666666666643,Excellent,2
DELHI,24.2,7.25,2337.0,1.725,5.1,35.0,1377.5,0.5,48.19552057650748,Good,1
DELHI,23.9,7.4,426.8,1.624,90.5,128.2,1235.0,0.423,26.66666666666669,Good,2
DELHI,23.6,7.35,324.1,1.262,90.5,128.2,410.0,0.4720000000000001,23.333333333333307,Excellent,2
DELHI,24.4,7.5,731.6,0.41,105.4,324.0,1116.0,1.411,33.33333333333333,Good,2
DELHI,24.1,7.65,618.2,1.25,51.1,130.2,1105.5,0.494,43.33333333333336,Good,2
DELHI,26.2,7.699999999999999,953.8,1.978,367.2,552.0,3362.0,0.484,46.666666666666615,Good,2
DELHI,24.4,7.5,731.6,0.32,105.4,324.0,330.5,1.411,33.33333333333333,Good,2
DELHI,27.5,7.15,821.6,3.4370000000000003,259.1,462.4,451.0,0.4949999999999999,10.000000000000025,Excellent,2
DELHI,24.9,7.75,751.4,0.495,89.2,263.8,2782.5,1.385,50.0,Good,2
DELHI,24.0,7.35,378.2,0.79,86.4,202.4,427.5,0.479,23.333333333333307,Excellent,2
DELHI,24.4,7.6,731.6,0.315,105.4,324.0,335.5,1.411,39.99999999999997,Good,2
DELHI,22.3,6.95,291.7,0.4,174.8,324.6,762.5,0.3959999999999999,3.3333333333333215,Excellent,2
DELHI,22.9,7.35,495.0,1.215,112.1,244.2,336.5,0.4939999999999999,23.333333333333307,Excellent,2
DELHI,24.6,7.199999999999999,359.5,0.34,164.6,324.6,516.5,0.418,13.333333333333286,Excellent,2
DELHI,20.4,6.7,197.9,0.5249999999999999,142.6,302.6,434.0,0.3919999999999999,19.999999999999986,Excellent,2
DELHI,24.3,7.55,534.7,0.83,89.2,263.8,1077.0,0.473,36.66666666666665,Good,2
DELHI,24.8,7.45,758.1,0.475,105.4,324.0,1695.0,0.4640000000000001,30.00000000000001,Good,2
DELHI,24.4,7.45,731.6,0.41,105.4,324.0,687.0,0.4640000000000001,30.00000000000001,Good,2
DELHI,24.4,7.25,356.2,0.745,86.4,202.4,750.5,0.498,16.666666666666664,Excellent,2
DELHI,24.9,7.6,727.7,0.4599999999999999,105.4,324.0,376.0,1.385,39.99999999999997,Good,2
DELHI,24.2,7.199999999999999,377.0,0.585,155.4,298.6,539.5,0.475,13.333333333333286,Excellent,2
DELHI,25.0,7.300000000000001,400.2,0.83,86.9,158.4,398.0,0.4670000000000001,20.00000000000005,Excellent,2
DELHI,23.6,7.25,359.5,0.35,101.2,260.6,694.0,0.418,16.666666666666664,Excellent,2
DELHI,23.6,7.300000000000001,383.1,0.3299999999999999,101.2,260.6,418.5,0.418,20.00000000000005,Excellent,2
GOA,30.5,6.83,365.5,2.02,10.24,2.0,256.5,0.373,11.333333333333329,Excellent,2
GOA,29.0,6.465,1075.0,3.03,13.0,23.0,709.5,1.75,157.89690857760328,Unsuitable for Drinking,4
GOA,29.0,6.6,58.0,0.32,158.7,132.5,37.0,0.381,26.66666666666669,Good,2
GOA,28.5,6.24,78.5,0.32,4.5,23.0,53.0,0.25,27.14367624975903,Good,1
GOA,28.5,7.085,293.5,0.36,19.12,23.0,180.0,0.6,53.33777166468816,Poor,3
